"";"SBPS1";"SBPS2";"SBPS3";"SBPS4";"SBPS5";"SBPS6";"SBPS7";"SBPS8";"CEIII1E";"CEIII2C";"CEIII3E";"CEIII4C";"CEIII5E";"CEIII6C";"CEIII7E";"CEIII8C";"CEIII9E";"CEIII10C"
"1";1;2;3;6;2;2;2;6;6;6;7;6;7;6;7;6;6;6
"2";5;3;2;6;1;2;3;2;5;3;7;6;5;4;6;5;6;6
"3";1;1;2;1;1;1;1;1;7;3;6;5;7;5;7;7;7;6
"4";1;1;1;2;2;2;2;1;4;3;3;3;7;2;2;3;4;5
"5";4;5;2;3;1;2;7;5;7;2;6;3;6;4;4;5;4;3
"6";1;1;1;1;1;1;1;1;5;3;5;7;7;5;7;4;6;7
"7";3;2;3;5;1;2;3;3;5;3;3;6;5;5;6;2;4;5
"8";2;2;5;2;6;2;2;4;4;2;5;5;3;2;2;3;4;3
"9";4;3;4;5;4;4;3;4;4;6;6;6;5;5;5;5;5;6
"10";1;1;2;1;1;1;1;1;6;3;6;7;7;5;4;4;7;7
"11";5;3;2;2;4;3;5;1;4;2;6;6;5;4;3;7;7;7
"12";4;2;5;7;2;6;5;6;6;6;7;4;6;7;5;6;2;7
"13";2;3;2;2;3;2;2;4;6;1;5;4;4;4;5;5;5;6
"14";2;1;4;2;1;2;1;4;6;5;4;6;6;5;5;6;5;5
"15";1;1;1;1;1;1;1;4;5;4;6;5;7;7;6;7;5;5
"16";6;6;4;5;5;4;5;2;3;2;6;3;6;1;2;4;5;5
"17";2;2;2;2;2;2;2;2;5;3;5;4;4;4;5;5;5;5
"18";2;2;6;6;3;3;6;6;6;6;6;6;6;6;6;6;6;6
"19";2;1;2;4;2;2;6;3;5;5;5;4;6;6;4;7;3;4
"20";3;3;4;3;4;5;4;6;4;4;5;4;6;6;4;5;4;6
"21";6;6;4;5;5;5;3;5;6;6;6;6;6;6;5;5;3;5
"22";1;3;1;2;1;1;1;1;7;3;5;6;7;6;7;5;7;7
"23";1;1;3;3;2;1;1;2;5;4;6;5;6;4;7;5;7;4
"24";1;3;2;1;1;1;1;1;3;3;3;4;6;4;4;3;5;3
"25";1;1;3;1;2;2;2;1;3;1;1;3;3;1;2;4;6;2
"26";2;2;3;3;4;2;2;5;5;6;5;6;6;6;5;4;5;6
"27";3;2;4;3;3;4;2;4;4;3;4;5;4;4;5;4;5;4
"28";1;2;3;1;2;1;2;2;5;4;6;5;5;3;4;7;6;4
"29";2;1;2;2;1;1;3;2;6;4;5;4;7;4;6;5;6;5
"30";1;1;2;2;2;2;1;1;2;2;3;2;4;3;4;3;4;5
"31";1;2;4;1;2;2;1;1;4;2;3;2;5;2;4;3;5;5
"32";1;2;1;1;5;1;2;2;5;4;5;6;6;3;4;5;6;7
"33";1;3;3;3;3;2;1;1;7;1;5;4;5;3;4;2;6;4
"34";2;1;2;2;2;2;5;1;7;2;5;5;5;2;2;6;6;3
"35";2;2;4;2;2;2;2;2;6;2;4;3;5;3;3;4;4;5
"36";2;2;1;4;3;4;3;1;6;2;5;4;4;4;5;3;5;5
"37";1;1;1;2;1;1;1;1;3;4;4;5;7;1;4;7;5;5
"38";5;2;1;7;4;2;5;2;6;6;6;5;4;7;7;5;6;3
"39";1;2;6;4;3;4;1;3;5;4;5;6;5;6;5;5;5;6
"40";4;3;3;2;5;3;5;2;2;2;3;2;3;1;2;4;2;2
"41";4;3;2;5;3;3;2;2;6;5;5;5;7;5;7;6;7;5
"42";1;2;2;2;2;1;1;1;6;3;5;5;6;1;4;4;5;5
"43";3;2;2;2;2;3;3;2;4;3;5;5;5;3;5;6;5;5
"44";1;1;4;2;2;2;1;1;6;1;5;2;6;1;3;3;6;4
"45";1;1;1;2;1;1;1;1;4;1;4;4;6;1;3;4;5;4
"46";1;1;2;2;2;1;1;1;5;2;3;4;4;1;2;4;4;4
"47";1;2;4;2;2;3;2;4;6;2;2;2;5;5;2;5;4;6
"48";1;1;2;1;1;2;1;1;6;4;4;5;6;2;5;5;6;4
"49";1;1;5;5;4;5;3;6;6;5;5;4;3;5;4;6;6;6
"50";1;1;1;1;1;2;2;1;6;5;6;4;7;5;6;6;7;7
"51";2;2;3;2;1;1;1;2;5;5;5;7;6;6;2;7;7;3
"52";5;4;3;5;4;5;3;5;6;6;6;5;5;6;6;6;5;5
"53";1;1;1;1;1;1;1;1;7;2;2;5;7;2;6;7;1;7
"54";1;2;2;3;3;2;3;2;6;2;5;3;5;3;5;4;5;4
"55";1;1;2;4;2;1;1;5;6;3;5;5;4;4;4;3;5;4
"56";2;1;4;1;1;2;1;1;4;3;4;4;5;3;6;4;6;6
"57";2;2;3;2;3;3;2;3;5;2;4;3;5;2;4;3;4;4
"58";2;2;3;4;2;4;2;1;6;1;6;2;7;2;2;2;6;3
"59";1;1;4;2;1;2;1;3;7;2;7;7;7;5;5;7;7;7
"60";1;1;1;1;1;1;1;1;6;3;3;5;6;2;4;3;6;7
"61";1;1;2;2;2;1;1;1;5;3;6;3;7;6;5;6;5;6
"62";2;2;2;1;2;2;1;2;4;3;4;4;6;4;3;4;5;4
"63";1;1;2;2;2;2;1;1;4;4;5;3;7;6;5;6;4;6
"64";1;3;5;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3
"65";2;3;3;2;1;3;1;4;5;3;6;5;7;4;4;4;5;4
"66";1;1;1;1;1;1;1;1;6;7;6;3;6;1;1;7;4;7
"67";1;1;2;2;1;1;2;1;5;3;7;6;7;5;6;5;6;6
"68";2;1;2;2;1;1;2;1;6;3;5;5;5;4;4;5;4;6
"69";2;3;1;3;2;1;2;1;5;2;5;3;5;5;3;4;4;3
"70";2;1;2;3;2;2;4;4;4;4;7;7;4;6;5;7;4;5
"71";1;1;4;3;2;2;6;1;4;3;5;3;6;4;4;6;6;7
"72";5;1;7;7;5;6;5;7;7;4;7;5;7;3;7;7;7;1
"73";2;2;5;4;5;2;2;2;7;5;5;7;7;2;7;6;7;5
"74";2;2;2;5;2;4;2;2;6;3;5;4;5;2;5;6;4;5
"75";4;3;4;2;3;3;5;3;5;3;4;5;4;1;4;4;4;5
"76";1;3;4;1;2;1;1;2;6;4;7;5;6;4;7;5;5;4
"77";1;1;2;1;1;1;1;1;5;4;5;4;6;2;4;4;6;4
"78";1;1;1;1;1;1;1;1;7;6;6;7;7;6;7;6;7;7
"79";1;1;2;1;1;1;1;3;7;6;6;7;7;6;6;6;6;6
"80";1;2;3;1;1;1;1;1;6;2;3;4;3;2;4;7;5;7
"81";2;1;1;2;3;1;3;1;6;1;2;6;6;4;3;5;6;5
"82";1;1;3;2;1;2;2;5;7;5;7;6;6;5;6;5;5;6
"83";2;1;1;2;1;2;1;1;5;5;6;5;6;3;6;6;6;7
"84";2;2;4;2;2;2;2;2;3;1;2;2;3;2;4;1;3;2
"85";2;6;7;1;1;2;1;1;7;1;5;7;6;2;6;2;7;4
"86";2;1;2;1;3;2;2;1;5;2;1;4;6;1;4;4;7;5
"87";2;2;4;1;1;2;1;3;5;3;5;6;6;4;6;4;6;6
"88";1;1;1;1;1;1;1;1;7;7;4;3;7;1;7;7;7;7
"89";1;1;4;2;1;1;2;3;5;6;7;7;7;7;6;7;7;7
"90";1;1;1;2;1;2;1;1;6;6;6;6;6;1;6;7;6;7
"91";2;1;2;4;1;2;2;4;6;4;5;5;7;7;6;6;7;6
"92";1;1;2;2;1;2;1;2;3;4;5;5;7;5;3;7;6;5
"93";2;2;4;4;2;3;4;2;4;5;4;4;6;4;4;6;4;5
"94";2;2;4;2;2;1;4;1;4;4;7;5;6;6;5;6;3;4
"95";1;2;6;2;2;2;2;1;6;3;2;2;6;6;2;3;2;6
"96";2;2;4;1;4;2;2;2;5;3;5;4;5;4;6;5;6;5
"97";1;2;1;2;2;2;1;2;6;5;7;6;6;4;6;5;6;5
"98";1;1;3;2;2;1;1;2;4;3;2;4;6;2;4;3;5;5
"99";2;3;3;3;3;2;1;3;6;1;5;6;6;2;2;5;6;5
"100";5;5;5;5;4;5;5;4;6;6;6;5;4;5;5;4;5;4
"101";1;1;2;1;2;2;1;2;6;5;7;6;6;3;5;7;6;6
"102";6;5;6;4;5;3;6;3;3;4;5;5;5;3;4;6;4;4
"103";7;2;1;5;3;5;3;1;7;7;4;6;5;6;4;7;4;5
"104";2;2;3;5;2;2;4;3;5;3;4;6;6;5;3;3;3;4
"105";4;1;5;4;4;1;7;5;4;7;6;7;7;6;4;7;6;7
"106";2;1;4;1;6;2;1;1;5;2;4;4;5;3;4;4;4;5
"107";1;1;1;1;1;1;1;1;5;6;6;6;7;4;6;6;5;7
"108";2;2;3;1;1;2;1;5;7;6;7;6;7;5;6;7;5;5
"109";1;1;2;5;5;2;1;2;7;2;6;7;7;2;7;6;7;4
